id,name,nationality,genre1,genre2,genre3,website
1,Frank Zappa,US,Rock,Jazz,Experimental,http://en.wikipedia.org/wiki/Frank_Zappa
2,Venetian Snares,CA,Electronic,IDM,Breakcore,http://en.wikipedia.org/wiki/Venetian_Snares
3,Astor Piazzolla,AR,Tango,Jazz,World,http://en.wikipedia.org/wiki/Astor_Piazzolla
4,Cafe Tacvba,MX,Latin,Alternative-Rock,Rock,http://en.wikipedia.org/wiki/Caf%C3%A9_Tacuba
5,Chico Buarque,BR,Bossa Nova,World,Songwriter,http://en.wikipedia.org/wiki/Chico_Buarque
6,Contemporary Noise Quintet,PL,Jazz,Experimental,,http://denovali.com/noisesextet/
7,Efterklang,DK,Post-Rock,Alternative-Rock,Electronic,http://efterklang.net/home/
8,Ephel Duath,IT,Jazz,Math-Rock,Metal,http://en.wikipedia.org/wiki/Ephel_Duath_%28band%29
9,Goran Bregovic,BA,Gipsy,Balkan,World,http://en.wikipedia.org/wiki/Goran_Bregovi%C4%87
10,Jaga Jazzist,NO,Jazz,Electronic,Experimental,http://en.wikipedia.org/wiki/Jaga_Jazzist
11,Kap Bambino,FR,Electronic,Synthpunk,Experimental,http://en.wikipedia.org/wiki/Kap_Bambino
12,Kenji Kawai,JP,Japan,Soundtracks,,http://en.wikipedia.org/wiki/Kenji_Kawai
13,King Crimson,GB,Progressive-Rock,Jazz,Experimental,http://en.wikipedia.org/wiki/King_Crimson
14,Kongar-ol Ondar,RU,Tuva,World,,http://en.wikipedia.org/wiki/Kongar-ol_Ondar
15,The Mars Volta,US,Progressive-Rock,Math-Rock,Alternative-Rock,http://en.wikipedia.org/wiki/The_Mars_Volta
16,Medeski Martin and Wood,US,Jazz,Experimental,Acid-Jazz,http://www.mmw.net/
17,Paco de Lucia,ES,World,Jazz,Flamenco,http://en.wikipedia.org/wiki/Paco_de_Luc%C3%ADa
18,Ravi Shankar,IN,World,Jazz,Indian,http://en.wikipedia.org/wiki/Ravi_Shankar
19,Sigur Ros,IS,Post-Rock,Indie-Rock,Alternative-Rock,http://en.wikipedia.org/wiki/Sigur_R%C3%B3s
20,Simon Diaz,VE,World,Songwriter,,http://en.wikipedia.org/wiki/Sim%C3%B3n_D%C3%ADaz
